Scenario,Load_TPS,SR_mean,SR_std,P95_mean,P95_std,P99_mean,P99_std,N,SR_CI_L,SR_CI_U,P95_CI_L,P95_CI_U,P99_CI_L,P99_CI_U,SuccessRate (Mean±CI),P95 (Mean±CI),P99 (Mean±CI)
S1: Public Internet,5,99.73620964838523,0.34608060729653845,2.1194012822000294,0.13601981247901432,2.805410553480145,0.2775091943317551,10,99.52170666566325,99.95071263110721,2.0350953289888642,2.2037072354111946,2.6334085728377246,2.9774125341225655,99.74 ± 0.21,2.119 ± 0.084,2.805 ± 0.172
S1: Public Internet,25,99.81365263807177,0.05483384648819481,2.0890835094933804,0.061550815603065814,2.9355272500501557,0.1399474502236894,10,99.77966626790871,99.84763900823484,2.0509339187406237,2.127233100246137,2.8487869217439354,3.022267578356376,99.81 ± 0.03,2.089 ± 0.038,2.936 ± 0.087
S1: Public Internet,50,91.47027586099315,0.4212252758137988,5.588365065503226,0.07326485612904554,7.2777832105467954,0.23008321886532054,10,91.20919773019072,91.73135399179559,5.5429550372120096,5.633775093794443,7.135176154039298,7.420390267054293,91.47 ± 0.26,5.588 ± 0.045,7.278 ± 0.143
S1: Public Internet,100,91.25309610040614,0.32871932646370633,10.06185861759007,0.09856208237055555,12.731881008777403,0.1392366463282312,10,91.04935375102795,91.45683844978433,10.000769206030935,10.122948029149207,12.645581241289939,12.818180776264867,91.25 ± 0.20,10.062 ± 0.061,12.732 ± 0.086
S1: Public Internet,250,69.32909571178867,0.452341550771908,14.005103879186056,0.0437794004059868,14.774666937116825,0.01761556863563927,10,69.04873151395736,69.60945990961997,13.97796912568969,14.032238632682422,14.763748694559967,14.785585179673683,69.33 ± 0.28,14.005 ± 0.027,14.775 ± 0.011
S1: Public Internet,500,36.51792906230063,0.2131037169555406,14.488901074588853,0.01786550580639639,14.892439857571256,0.008124120428219798,10,36.38584601010887,36.65001211449239,14.477827919368615,14.49997422980909,14.887404475561675,14.897475239580837,36.52 ± 0.13,14.489 ± 0.011,14.892 ± 0.005
S2: Private APN (Atheer),5,99.83497536210459,0.2340790206153413,0.24541620543212703,0.0033993724878837272,0.26554731625742944,0.004188361122444939,10,99.68989168201381,99.98005904219536,0.24330925253542998,0.24752315832882407,0.2629513431386253,0.2681432893762336,99.83 ± 0.15,0.245 ± 0.002,0.266 ± 0.003
S2: Private APN (Atheer),25,99.84426247578938,0.10128519179060506,0.2440598849610461,0.0016760468455062224,0.26399703744674696,0.0020838177180391767,10,99.78148526352554,99.90703968805322,0.24302106036364587,0.24509870955844634,0.26270547384409376,0.26528860104940016,99.84 ± 0.06,0.244 ± 0.001,0.264 ± 0.001
S2: Private APN (Atheer),50,99.80086981594327,0.08631670334496243,0.24554131959408726,0.0010556939515092318,0.26540418184521186,0.00223995286355083,10,99.74737016893658,99.85436946294996,0.2448869937039161,0.24619564548425843,0.2640158446767654,0.2667925190136583,99.80 ± 0.05,0.246 ± 0.001,0.265 ± 0.001
S2: Private APN (Atheer),100,99.83734799070363,0.08462898253126537,0.24472991239490213,0.0006978291870206623,0.2649626114909931,0.002182156023523096,10,99.7848944038948,99.88980157751247,0.24429739338375125,0.245162431406053,0.26361009717513206,0.2663151258068541,99.84 ± 0.05,0.245 ± 0.000,0.265 ± 0.001
